Unnamed: 0,username,comicID,rating
19119,ShiroganeDx,933,5.0
60044,kurosaki_kabuto,37707,4.0
36775,Maariee,7749,5.0
26153,gufiotaku,2923,4.0
62150,Evit,44485,4.0
23662,jimanator,1649,5.0
40430,XYGMA,11652,3.0
5324,Oshiricke,21,5.0
47548,Yoshidayama,18019,3.0
17949,Vensito,745,5.0
58678,Pokemblem,35003,4.0
31555,nienna81,4196,5.0
74453,TheSinner,103890,4.0
34778,lady_bug,5686,4.0
37513,nicolette19,8340,4.0
75108,Sora-Ue,104565,5.0
5354,Fragnostic,22,5.0
57947,xoxl,33327,5.0
11687,Karpaasi,348,5.0
23620,AnimeXHunter,1649,4.0
48438,Silver_Noir,20242,5.0
28440,mihalaya,3493,5.0
25466,Rhyna18,2686,5.0
52473,P_u_Sher,24692,4.0
56398,custardloaf,29983,4.0
3170,mrtanaka2687,12,4.0
42632,Fenneko,13171,4.0
55062,Sameien,27231,4.0
42478,kania_tan,12888,4.0
28454,niiica,3493,4.0
55068,Satory,27231,5.0
50001,Sennzai,22044,4.0
45178,KoteSaiaku,14721,4.0
55545,Yoshimori_168,28226,4.0
18653,notatragedy,878,4.0
7959,BaronBadass,44,4.0
47826,xeries,18597,3.0
15281,Tekkers,616,4.0
60756,Chocovainilla,39883,5.0
53683,XyeYing,25132,5.0
7630,MK42Dragon,42,4.0
18868,Shiro_Usagi,908,3.0
55425,-Soel,27989,5.0
30338,andapandas,3866,5.0
2337,HolBasten,11,3.0
68755,XyeYing,75989,5.0
71429,Tezsa,90125,4.0
160,hlaxkar,1,5.0
13295,RageKirihara,564,5.0
64966,Perringolden,56805,4.0
75598,Sthich_Rounathan,110485,3.0
6072,Stooka,25,4.0
13124,chibiandreea,564,5.0
18835,mastertek,908,1.0
14947,Akane666,610,5.0
76607,AkaiKiri,116778,3.0
37614,Shiorins,8340,4.0
3630,Xenars,13,4.0
67669,SirTM,70251,5.0
62529,areumsonge,44677,4.0
45011,pirxs,14531,5.0
56260,mrtanaka2687,29211,5.0
6306,CondessaSakura,25,5.0
17381,NinjaChan,676,5.0
35754,anakurama,7378,3.0
77282,NTKalos,121496,5.0
24819,-Hotaru_,2126,2.0
38997,Jousuke,9711,4.0
6862,Village_Idiot,30,4.0
28251,rkronin,3468,5.0
65900,StormHunter,60783,5.0
46203,MacSence,16765,5.0
6858,HikaruShidou,30,5.0
14941,Ishxar,610,5.0
43589,Nayami-Chan,13702,4.0
3521,-Anna-,13,5.0
23058,28tDm,1517,4.0
71825,Chipz_1012,91941,5.0
18398,Apey_,768,4.0
18918,AdSmokinStyle,908,4.0
77023,kalekiko,119161,4.0
26896,BorderlandsFan,3031,4.0
31277,Sthich_Rounathan,3986,4.0
55577,tomokki,28226,4.0
33228,melody423,5095,5.0
39521,SlinkyDreams,10552,5.0
23405,big_demon_69,1630,4.0
34465,fornalina,5627,4.0
2772,TheLastKing360,12,4.0
37465,Nordsjel,8340,3.0
13067,geemaa,564,5.0
61853,justemy,44155,4.0
8086,marru7,44,5.0
41072,EllieBerry,11803,5.0
9866,namango,101,3.0
9368,Prismatica,83,3.0
13140,shizu,564,4.0
45913,kagome19,16031,5.0
6375,Phoenix_SMT,25,5.0
74917,lazydreamershark,103942,3.0
16805,Thelas,656,5.0
71904,Laplacian,92149,4.0
49063,prince-bel,21419,5.0
71999,DaXiaoJie,92149,5.0
31416,Amonimus,3992,4.0
64867,doorotka,55403,4.0
26095,kahren,2923,5.0
53184,Erica-chan,25081,4.0
19715,mariko_yuna,1061,5.0
74591,mranimefan95,103890,4.0
42479,kawaii_monstros,12888,3.0
58828,TheInfamousQuiff,35013,4.0
64702,Sammy_G,54897,5.0
10921,SmileyMarina,165,4.0
3816,Hikikomori-san,14,2.0
59713,noirgrimoir,36413,5.0
71323,Bonssons,90125,4.0
72982,Perushia,98938,5.0
65746,Perushia,57239,5.0
7559,Silent89,42,4.0
14577,MartinRodriguez,598,4.0
3082,Se1ko_Kimura,12,4.0
45386,dragonlayer,14790,4.0
18583,Daniii123,801,4.0
11383,imBones,336,4.0
44638,Hota-chan,14440,3.0
31342,Nieteling,3986,3.0
612,SaintGold,2,5.0
7536,Fooly_Cooly,42,4.0
55195,Afro_Typical,27231,5.0
8956,Mayuuuu,71,3.0
56727,Nuage,30079,4.0
66061,suna19,61189,5.0
57635,Satory,32931,4.0
45245,SkyGirl,14739,5.0
58338,MrBouBou,33327,5.0
47928,Royal-Guard-Reli,18597,2.0
75437,LayshaSky,108461,4.0
69646,logic340,81117,4.0
65506,Coptori,56857,5.0
71121,AndyKyrielight,89087,5.0
56872,Amatsuki,30315,5.0
1001,TheRealSanji,3,5.0
2909,XRaz0r2000,12,5.0
72209,firelrdzuko,95210,5.0
32468,Amneja_Vu,4514,4.0
33586,ana21,5255,4.0
21442,LeSeNoK,1291,5.0
74265,Codename_Sako,103851,5.0
38374,Asakuram,8967,4.0
50676,Akane666,23358,4.0
7539,djwhack03,42,5.0
13479,rvmg,584,4.0
34393,katzer,5394,4.0
71935,Barion-Zara,92149,4.0
28320,Terexen,3468,4.0
29368,jodichan,3633,4.0
77036,ManWild,119161,4.0
29676,Aitzibi11,3653,5.0
19920,kage-kun,1101,4.0
18164,gintokis0617,763,4.0
14764,00Mgsan,606,4.0
29902,Bot1nHere,3731,4.0
55625,KingTaiki,28226,4.0
17286,Thereg741,670,3.0
57199,Andrey793,31499,3.0
32759,Exam,4608,4.0
47985,Animehunter,18792,4.0
2906,Alvenzo,12,2.0
72233,Backha,95353,4.0
30094,Gaela,3764,3.0
38898,Dejiko,9711,5.0
60834,suzuran_lily,39883,4.0
29335,CriticalSmash,3633,4.0
53847,fr3akzila,25297,5.0
68742,IcedFlame,75989,4.0
10213,Karlboose,107,4.0
60562,Nuage,39325,4.0
51891,Sayohh,24294,2.0
12984,arff98,564,4.0
54774,taynis,26736,3.0
76563,DarkMaxUchiha,116778,3.0
23575,Arwenia,1649,5.0
24580,-Elly--chwan,1978,4.0
5610,TotallyLovable,24,5.0
51648,Northen_Lights,24294,5.0
30879,Norachii,3872,3.0
21493,IluvSakuraLily,1340,4.0
36001,LaOveja,7519,4.0
56678,Strengthen,30079,2.0
543,DeusJuvenaldo,2,5.0
3175,Nikorasuuuu,12,3.0
60065,Mystz,37707,4.0
13028,Calissa,564,4.0
67058,Oo-RAKAN-oO,67019,2.0
55359,ryan5514,27989,4.0
49770,Lord_Kyon,21729,4.0
75653,burstintoflames,110737,4.0
33292,quinnul,5095,4.0
35734,Nasucha,7378,4.0
63024,Senapi,46282,4.0
69889,Clownsrcool,82427,4.0
56033,-Nakahara,28825,4.0
20909,Mullerio,1224,5.0
64142,Ruuusanautti,50145,4.0
76728,Shaderino,116778,5.0
14604,Nasucha,606,5.0
2537,notatragedy,12,4.0
48508,Gaichi,20375,4.0
36769,inu_freak02,7749,5.0
32368,_NUBCAKE,4514,2.0
39020,TheLe0,9711,4.0
41495,DarkenedEmbers,12309,2.0
25932,Senapi,2921,4.0
17751,Xahkarias,705,5.0
59482,Kainser2045,35719,3.0
38651,isuzusan,9296,4.0
